run_id,protocol_version,mode,workload,prompt_id,repetition,run_type,time_to_first_output_ms,time_to_first_final_output_ms,end_to_end_latency_ms,reasoning_associated_duration_ms,final_or_tool_associated_duration_ms,prompt_tokens,completion_tokens,output_tokens_per_second,finish_reason,benchmark_valid,phase_mapping_valid,output_valid,invalid_reasons
v1-normal-plain-plain_001-r01,1.2,normal,plain_text,plain_001,1,benchmark,79.26596,3112.774381,4024.556768,3033.508421,911.782387,75,387,97.83816169325077,stop,True,True,True,
v1-normal-plain-plain_001-r02,1.2,normal,plain_text,plain_001,2,benchmark,77.921979,3100.768833,4002.519647,3022.846854,901.750814,75,385,97.84442444407017,stop,True,True,True,
v1-normal-plain-plain_001-r03,1.2,normal,plain_text,plain_001,3,benchmark,77.578671,6116.551906,7077.577089,6038.973235,961.025183,75,680,97.00002192200496,stop,True,True,True,
v1-normal-plain-plain_001-r04,1.2,normal,plain_text,plain_001,4,benchmark,77.79572,4137.122517,5053.083281,4059.326797,915.960764,75,486,97.4818026201722,stop,True,True,True,
v1-normal-plain-plain_001-r05,1.2,normal,plain_text,plain_001,5,benchmark,88.350418,6127.329256,7089.101211,6038.978838,961.771955,75,680,96.98959726989956,stop,True,True,True,
v1-normal-plain-plain_001-r06,1.2,normal,plain_text,plain_001,6,benchmark,78.325569,3122.904726,4034.561575,3044.579157,911.656849,75,388,97.8202512218883,stop,True,True,True,
v1-normal-plain-plain_001-r07,1.2,normal,plain_text,plain_001,7,benchmark,78.137195,3132.642185,4044.932608,3054.50499,912.290423,75,389,97.81195136216117,stop,True,True,True,
v1-normal-plain-plain_001-r08,1.2,normal,plain_text,plain_001,8,benchmark,78.269528,4209.974113,5126.001187,4131.704585,916.027074,75,493,97.4695235874463,stop,True,True,True,
v1-normal-plain-plain_001-r09,1.2,normal,plain_text,plain_001,9,benchmark,79.340781,3082.075987,3994.076113,3002.735206,912.000126,75,384,97.8354773742339,stop,True,True,True,
v1-normal-plain-plain_001-r10,1.2,normal,plain_text,plain_001,10,benchmark,79.206338,3092.381899,4004.921478,3013.175561,912.539579,75,385,97.81657260032372,stop,True,True,True,
v1-normal-plain-plain_001-r11,1.2,normal,plain_text,plain_001,11,benchmark,77.56745,4137.252472,5052.855633,4059.685022,915.603161,75,486,97.48179043320354,stop,True,True,True,
v1-normal-plain-plain_001-r12,1.2,normal,plain_text,plain_001,12,benchmark,78.783939,3081.666526,3993.830997,3002.882587,912.164471,75,384,97.82768746479778,stop,True,True,True,
v1-normal-plain-plain_001-r13,1.2,normal,plain_text,plain_001,13,benchmark,78.206183,5376.561159,6284.919341,5298.354976,908.358182,75,604,97.15287055319723,stop,True,True,True,
v1-normal-plain-plain_001-r14,1.2,normal,plain_text,plain_001,14,benchmark,79.460053,4139.127433,5054.856708,4059.66738,915.729275,75,486,97.47966516651525,stop,True,True,True,
v1-normal-plain-plain_001-r15,1.2,normal,plain_text,plain_001,15,benchmark,76.78002,4136.427722,5052.304436,4059.647702,915.876714,75,486,97.4771620937816,stop,True,True,True,
v1-normal-plain-plain_001-r16,1.2,normal,plain_text,plain_001,16,benchmark,77.169923,3121.123836,4034.177733,3043.953913,913.053897,75,388,97.80117163832436,stop,True,True,True,
v1-normal-plain-plain_001-r17,1.2,normal,plain_text,plain_001,17,benchmark,78.36169,4750.551181,5669.964178,4672.189491,919.412997,75,545,97.2887470394158,stop,True,True,True,
v1-normal-plain-plain_001-r18,1.2,normal,plain_text,plain_001,18,benchmark,77.907931,4751.445062,5659.03522,4673.537131,907.590158,75,544,97.29217268887844,stop,True,True,True,
v1-normal-plain-plain_001-r19,1.2,normal,plain_text,plain_001,19,benchmark,77.398017,3131.851701,4064.708636,3054.453684,932.856935,75,391,97.810288002546,stop,True,True,True,
v1-normal-plain-plain_001-r20,1.2,normal,plain_text,plain_001,20,benchmark,82.554329,5724.124494,6612.107149,5641.570165,887.982655,75,635,97.09700150645232,stop,True,True,True,
v1-normal-plain-plain_002-r01,1.2,normal,plain_text,plain_002,1,benchmark,83.606024,3117.385692,4040.201942,3033.779668,922.81625,76,388,97.81135299649773,stop,True,True,True,
v1-normal-plain-plain_002-r02,1.2,normal,plain_text,plain_002,2,benchmark,77.419064,3111.206106,4033.930795,3033.787042,922.724689,76,388,97.81343423495589,stop,True,True,True,
v1-normal-plain-plain_002-r03,1.2,normal,plain_text,plain_002,3,benchmark,77.597579,3111.609917,4034.054568,3034.012338,922.444651,76,388,97.81478759303151,stop,True,True,True,
v1-normal-plain-plain_002-r04,1.2,normal,plain_text,plain_002,4,benchmark,77.843614,4158.243278,5084.386299,4080.399664,926.143021,76,489,97.47245368786864,stop,True,True,True,
v1-normal-plain-plain_002-r05,1.2,normal,plain_text,plain_002,5,benchmark,77.628532,3111.199459,4033.853122,3033.570927,922.653663,76,388,97.8205334899857,stop,True,True,True,
v1-normal-plain-plain_002-r06,1.2,normal,plain_text,plain_002,6,benchmark,78.908344,4159.151129,5086.068053,4080.242785,926.916924,76,489,97.46044231879723,stop,True,True,True,
v1-normal-plain-plain_002-r07,1.2,normal,plain_text,plain_002,7,benchmark,76.499637,4769.533789,5698.993786,4693.034152,929.459997,76,548,97.28778465643894,stop,True,True,True,
v1-normal-plain-plain_002-r08,1.2,normal,plain_text,plain_002,8,benchmark,77.915634,4158.556146,5084.98096,4080.640512,926.424814,76,489,97.46227944460415,stop,True,True,True,
v1-normal-plain-plain_002-r09,1.2,normal,plain_text,plain_002,9,benchmark,77.607466,3112.668239,4034.273997,3035.060773,921.605758,76,388,97.80960739751559,stop,True,True,True,
v1-normal-plain-plain_002-r10,1.2,normal,plain_text,plain_002,10,benchmark,77.415962,2955.5727,3898.86577,2878.156738,943.29307,76,375,97.86861499974462,stop,True,True,True,
v1-normal-plain-plain_002-r11,1.2,normal,plain_text,plain_002,11,benchmark,81.549532,4161.849319,5088.106046,4080.299787,926.256727,76,489,97.4721844516065,stop,True,True,True,
v1-normal-plain-plain_002-r12,1.2,normal,plain_text,plain_002,12,benchmark,79.025577,4158.975685,5085.510157,4079.950108,926.534472,76,489,97.47358494810344,stop,True,True,True,
v1-normal-plain-plain_002-r13,1.2,normal,plain_text,plain_002,13,benchmark,77.814573,4158.553527,5084.879872,4080.738954,926.326345,76,489,97.46227997015782,stop,True,True,True,
v1-normal-plain-plain_002-r14,1.2,normal,plain_text,plain_002,14,benchmark,79.883703,3113.950118,4046.85496,3034.066415,932.904842,76,389,97.80761565018821,stop,True,True,True,
